,Season,Name,Last Name,Followers(k),Age,City,State,Country,Occupation,Outcome,Elimination_Week,Place,Note,Was_Bachelorette
60,21,Astrid,Loch,31.6,26.0,Tampa,Florida,USA,Plastic Surgery Office Manager,Week 4,4,14.0,,0
61,19,Mackenzie,Deonigi,40.9,21.0,Maple Valley,Washington,USA,Dental Assistant,Week 5,5,10.0,,0
62,19,Megan,Bell,40.9,24.0,Nashville,Tennessee,USA,Make-Up Artist,Week 6,6,7.0,quit,0
63,21,Taylor,Nolan,47.3,23.0,Seattle,Washington,USA,Mental Health Counselor,Week 5,5,13.0,,0
64,20,Leah,Block,52.8,25.0,Greenwood Village,Colorado,USA,Event Planner,Week 6,6,9.0,,0
65,19,Jillian,Anderson,53.2,25.0,Howland,Ohio,USA,News Producer,Week 4,4,15.0,,0
66,19,Bo,Stanley,53.9,25.0,Carpinteria,California,USA,Plus-Size Model,Week 1,1,24.0,,0
67,21,Christen,Whitney,55.0,25.0,Martinsville,Indiana,USA,Wedding Videographer,Week 3,3,16.0,,0
68,20,Izzy,Goodkind,65.3,24.0,Branford,Connecticut,USA,Graphic Designer,Week 1,1,22.0,,0
69,19,Brittany,Fetkin,69.5,26.0,Temecula,California,USA,WWE Diva-in-Training,Week 1,1,24.0,,0
70,21,Whitney,Fransway,72.8,25.0,Chanhassen,Minnesota,USA,Pilates Instructor,Week 6,6,8.0,,0
71,18,Cassandra,Ferguson,81.0,22.0,Shelby Charter Township,Michigan,USA,Former NBA Dancer,Week 6,6,8.0,,0
72,18,Lucy,Aragon,82.229,25.0,Santa Barbara,California,USA,Free Spirit,Week 3,3,14.0,,0
73,20,Jubilee,Sharpe,93.7,24.0,Fort Lauderdale,Florida,USA,War Veteran,Week 5,5,11.0,,0
74,18,Kelly,Travis,96.802,27.0,Conyers,Georgia,USA,Dog Lover,Week 5,5,9.0,,0
75,19,Samantha,Steffen,122.0,27.0,Indianapolis,Indiana,USA,Fashion Designer,Week 5,5,10.0,,0
76,20,Lauren,Himle,133.0,25.0,Dexter,Michigan,USA,Kindergarten Teacher,Week 6,6,7.0,,0
77,19,Ashley,Salter,137.0,24.0,Vinings,Georgia,USA,Hair Stylist,Week 4,4,12.0,,0
78,21,Danielle,Maltby,158.0,31.0,Colgate,Wisconsin,USA,Neonatal Nurse,Week 7,7,6.0,,0
79,20,Olivia,Caridi,159.0,23.0,Bristol,Virginia,USA,Former News Anchor,Week 6,6,8.0,,0
80,19,Juelia,Kinney,164.0,30.0,Beaverton,Oregon,USA,Esthetician,Week 4,4,12.0,,0
81,18,Sharleen,Joynt,175.0,29.0,Ottawa,Ontario,Canada,Opera Singer,Week 7,7,6.0,quit,0
82,18,Lacy,Faddoul,191.726,25.0,Antelope Acres,California,USA,Nursing Home Owner,Week 1,1,19.0,,0
83,20,Jennifer,Saviano,204.0,25.0,Lauderdale Lakes,Florida,USA,Small Business Owner,Week 5,5,10.0,,0
84,21,Sarah,Vendal,217.0,26.0,Palmdale,California,USA,Grade School Teacher,Week 4,4,14.0,,0
85,21,Danielle,Lombard,241.0,27.0,Danville,California,USA,Small Business Owner,Week 6,6,7.0,,0
86,19,Nicole,Meacham,252.0,31.0,Scottsdale,Arizona,USA,Real Estate Agent,Week 1,1,24.0,,0
87,21,Alexis,Waters,264.0,23.0,Secaucus,New Jersey,USA,Aspiring Dolphin Trainer,Week 5,5,10.0,,0
88,18,Clare,Crawley,274.949,32.0,Sacramento,California,USA,Hairstylist,Runner-up,10,2.0,,0
89,21,Kristina,Schulman,311.0,24.0,Lexington,Kentucky,USA,Dental Hygienist,Week 7,7,5.0,,0
90,20,Haley,Ferguson,313.0,23.0,Las Vegas,Nevada,USA,Waitress,Week 4,4,14.0,,0
91,19,Britt,Nilsson,314.0,27.0,Wolcott Mills,Michigan,USA,Waitress,Week 7,7,6.0,,0
92,18,Renee,Oteri,323.0,32.0,Martha's Vineyard,Massachusetts,USA,Real Estate Agent,Week 8,8,4.0,,0
93,20,Caila,Quinn,350.0,24.0,Hudson,Ohio,USA,Software Sales Representative,Week 9,9,3.0,,0
94,20,Lace,Morris,374.0,25.0,Denver,Colorado,USA,Real Estate Agent,Week 3,3,17.0,quit,0
95,20,Emily,Ferguson,384.0,23.0,Las Vegas,Nevada,USA,Waitress,Week 7,7,6.0,,0
96,21,Rachel,Lindsay,421.0,31.0,Dallas,Texas,USA,Attorney,Week 9,9,3.0,,1
97,18,Nikki,Ferrell,432.494,26.0,Kearney,Missouri,USA,Pediatric Nurse,Winner,10,1.0,,0
98,19,Ashley,Iaconetti,582.0,26.0,Great Falls,Virginia,USA,Nanny/Freelance Journalist,Week 6,6,9.0,,0
